caseid,start,end,imp_misconduct,imp_private_gain,imp_monitor_opponents,imp_equal_rights,imp_journalists,imp_private_violence,imp_free_speech,imp_patriotism,imp_foreign_influence,imp_ban_ideology,imp_voting_rights,imp_votes_impact,imp_election_fraud,imp_expand_executive,imp_legislature_check,imp_judiciary_check,imp_judicial_ind,imp_participation,imp_funds_transparent,imp_contributions,imp_opinions,imp_districts,imp_common_und,imp_compromise,imp_candidates_disclose,imp_protest,imp_investigations,perf_misconduct,perf_private_gain,perf_monitor_opponents,perf_equal_rights,perf_journalists,perf_private_violence,perf_free_speech,perf_patriotism,perf_foreign_influence,perf_ban_ideology,perf_voting_rights,perf_votes_impact,perf_election_fraud,perf_expand_executive,perf_legislature_check,perf_judiciary_check,perf_judicial_ind,perf_participation,perf_funds_transparent,perf_contributions,perf_opinions,perf_districts,perf_common_und,perf_compromise,perf_candidates_disclose,perf_protest,perf_investigations,US_2017_SEPT,faculty_rank,field,wave,imp_science,imp_restraint,perf_science,perf_restraint,US_2017_FEB,US_2017_MAY,US_2015,US_2005,US_1995,US_1985,US_1975,US_1950,US_1900,US_1850,US_1800,democracy_importance,US_democracy_rating
W1BLW0000110,2017-02-13 14:48:27,2017-02-13 14:54:35,2,2,2,2,2,2,3,2,2,2,3,2,3,2,2,3,3,,,,,,,,,,,2,3,3,3,3,2,3,2,3,4,2,1,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,3,60,,,,,,,,,,,,
W1BLW0000176,2017-02-13 14:53:32,2017-02-13 15:06:33,1,1,2,3,2,2,2,1,2,2,2,2,3,2,2,1,2,,,,,,,,,,,3,2,,3,3,3,4,2,3,4,2,3,4,2,3,4,4,,,,,,,,,,,,,,1,0,1,2,2,70,,,,,,,,,,,,
W1BLW0000130,2017-02-13 15:23:46,2017-02-13 15:28:06,2,3,3,2,3,3,3,1,2,3,3,1,3,3,3,3,3,,,,,,,,,,,2,1,2,1,3,3,4,2,1,4,1,1,4,2,2,3,3,,,,,,,,,,,,,,1,3,1,1,2,70,,,,,,,,,,,,
W1BLW0000204,2017-02-13 15:44:43,2017-02-13 15:53:40,2,1,2,1,2,3,2,1,2,,2,,3,2,3,2,3,,,,,,,,,,,3,1,1,1,2,3,4,1,3,,3,,3,1,3,3,1,,,,,,,,,,,,,,1,0,2,2,1,80,,,,,,,,,,,,
W1BLW0000151,2017-02-13 15:26:48,2017-02-13 16:03:27,0,2,3,3,3,2,3,2,2,3,3,2,3,2,3,3,3,,,,,,,,,,,3,3,4,3,3,3,4,2,3,4,3,1,4,4,4,4,4,,,,,,,,,,,,,,1,1,2,2,2,80,,,,,,,,,,,,
W1BLW0000198,2017-02-13 16:01:24,2017-02-13 16:07:18,1,1,3,2,2,1,2,1,2,3,2,1,3,2,2,3,2,,,,,,,,,,,3,2,4,3,3,4,4,1,2,4,2,1,4,3,2,3,2,,,,,,,,,,,,,,1,1,1,2,2,70,,,,,,,,,,,,
W1BLW0000185,2017-02-13 16:28:13,2017-02-13 16:32:19,3,1,1,3,3,3,3,3,3,2,3,2,3,3,3,3,3,,,,,,,,,,,3,2,3,3,3,4,4,2,2,4,3,3,4,4,2,4,2,,,,,,,,,,,,,,1,1,2,1,1,80,,,,,,,,,,,,
W1BLW0000744,2017-02-13 16:53:49,2017-02-13 16:57:17,2,2,3,3,3,2,3,1,2,3,3,2,3,2,3,3,3,,,,,,,,,,,2,1,2,2,3,3,2,1,1,4,2,2,4,4,2,3,2,,,,,,,,,,,,,,1,1,1,2,2,80,,,,,,,,,,,,
W1BLW0000682,2017-02-13 16:55:01,2017-02-13 17:03:44,3,2,3,3,3,2,3,1,2,3,2,3,3,3,3,3,3,,,,,,,,,,,3,2,2,3,4,3,4,1,3,4,3,4,3,4,4,4,4,,,,,,,,,,,,,,1,2,3,3,3,90,,,,,,,,,,,,
W1BLW0000383,2017-02-13 17:01:55,2017-02-13 17:09:19,3,1,3,3,2,3,1,2,3,3,3,3,3,3,2,3,3,,,,,,,,,,,2,2,2,2,3,2,2,1,,2,2,,,2,2,2,2,,,,,,,,,,,,,,1,2,3,2,1,50,,,,,,,,,,,,
W1BLW0000583,2017-02-13 17:03:17,2017-02-13 17:10:43,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,,,,,,,,,,,2,1,3,2,3,3,3,2,3,,2,2,2,2,3,3,3,,,,,,,,,,,,,,1,1,2,2,2,60,,,,,,,,,,,,
W1BLW0000326,2017-02-13 17:11:39,2017-02-13 17:14:59,2,3,1,3,3,2,2,3,1,3,3,2,3,2,1,1,2,,,,,,,,,,,2,2,3,1,3,2,3,2,3,,1,1,4,2,3,3,2,,,,,,,,,,,,,,1,1,1,2,4,70,,,,,,,,,,,,
W1BLW0000495,2017-02-13 17:11:36,2017-02-13 17:15:57,3,1,2,3,3,3,3,1,2,3,3,2,3,2,1,2,2,,,,,,,,,,,3,1,3,3,4,3,4,1,2,4,2,1,4,2,2,3,3,,,,,,,,,,,,,,1,1,2,2,1,80,,,,,,,,,,,,
W1BLW0000790,2017-02-13 17:04:55,2017-02-13 17:16:07,3,2,2,2,2,2,3,1,2,3,2,2,3,2,1,2,2,,,,,,,,,,,2,2,3,2,3,3,3,2,2,3,2,1,4,3,2,3,3,,,,,,,,,,,,,,1,1,2,2,2,60,,,,,,,,,,,,
