caseid,start,end,imp_misconduct,imp_private_gain,imp_monitor_opponents,imp_equal_rights,imp_journalists,imp_private_violence,imp_free_speech,imp_patriotism,imp_foreign_influence,imp_ban_ideology,imp_voting_rights,imp_votes_impact,imp_election_fraud,imp_expand_executive,imp_legislature_check,imp_judiciary_check,imp_judicial_ind,imp_participation,imp_funds_transparent,imp_contributions,imp_opinions,imp_districts,imp_common_und,imp_compromise,imp_candidates_disclose,imp_protest,imp_investigations,perf_misconduct,perf_private_gain,perf_monitor_opponents,perf_equal_rights,perf_journalists,perf_private_violence,perf_free_speech,perf_patriotism,perf_foreign_influence,perf_ban_ideology,perf_voting_rights,perf_votes_impact,perf_election_fraud,perf_expand_executive,perf_legislature_check,perf_judiciary_check,perf_judicial_ind,perf_participation,perf_funds_transparent,perf_contributions,perf_opinions,perf_districts,perf_common_und,perf_compromise,perf_candidates_disclose,perf_protest,perf_investigations,US_2017_SEPT,faculty_rank,field,wave,imp_science,imp_restraint,perf_science,perf_restraint,US_2017_FEB,US_2017_MAY,US_2015,US_2005,US_1995,US_1985,US_1975,US_1950,US_1900,US_1850,US_1800,democracy_importance,US_democracy_rating
W1BLW0000110,2017-02-13 14:48:27,2017-02-13 14:54:35,Important,Important,Important,Important,Important,Important,Essential,Important,Important,Important,Essential,Important,Essential,Important,Important,Essential,Essential,,,,,,,,,,,Partly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Partly meets,Mostly meets,Partly meets,Mostly meets,Fully meets,Partly meets,Does not meet,Mostly meets,Mostly meets,Mostly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Beneficial,Beneficial,Partly meets,Mostly meets,60,,,,,,,,,,,,
W1BLW0000176,2017-02-13 14:53:32,2017-02-13 15:06:33,Beneficial,Beneficial,Important,Essential,Important,Important,Important,Beneficial,Important,Important,Important,Important,Essential,Important,Important,Beneficial,Important,,,,,,,,,,,Mostly meets,Partly meets,,Mostly meets,Mostly meets,Mostly meets,Fully meets,Partly meets,Mostly meets,Fully meets,Partly meets,Mostly meets,Fully meets,Partly meets,Mostly meets,Fully meets,Fully meets,,,,,,,,,,,,,,1,Not relevant,Beneficial,Partly meets,Partly meets,70,,,,,,,,,,,,
W1BLW0000130,2017-02-13 15:23:46,2017-02-13 15:28:06,Important,Essential,Essential,Important,Essential,Essential,Essential,Beneficial,Important,Essential,Essential,Beneficial,Essential,Essential,Essential,Essential,Essential,,,,,,,,,,,Partly meets,Does not meet,Partly meets,Does not meet,Mostly meets,Mostly meets,Fully meets,Partly meets,Does not meet,Fully meets,Does not meet,Does not meet,Fully meets,Partly meets,Partly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Essential,Beneficial,Does not meet,Partly meets,70,,,,,,,,,,,,
W1BLW0000204,2017-02-13 15:44:43,2017-02-13 15:53:40,Important,Beneficial,Important,Beneficial,Important,Essential,Important,Beneficial,Important,,Important,,Essential,Important,Essential,Important,Essential,,,,,,,,,,,Mostly meets,Does not meet,Does not meet,Does not meet,Partly meets,Mostly meets,Fully meets,Does not meet,Mostly meets,,Mostly meets,,Mostly meets,Does not meet,Mostly meets,Mostly meets,Does not meet,,,,,,,,,,,,,,1,Not relevant,Important,Partly meets,Does not meet,80,,,,,,,,,,,,
W1BLW0000151,2017-02-13 15:26:48,2017-02-13 16:03:27,Not relevant,Important,Essential,Essential,Essential,Important,Essential,Important,Important,Essential,Essential,Important,Essential,Important,Essential,Essential,Essential,,,,,,,,,,,Mostly meets,Mostly meets,Fully meets,Mostly meets,Mostly meets,Mostly meets,Fully meets,Partly meets,Mostly meets,Fully meets,Mostly meets,Does not meet,Fully meets,Fully meets,Fully meets,Fully meets,Fully meets,,,,,,,,,,,,,,1,Beneficial,Important,Partly meets,Partly meets,80,,,,,,,,,,,,
W1BLW0000198,2017-02-13 16:01:24,2017-02-13 16:07:18,Beneficial,Beneficial,Essential,Important,Important,Beneficial,Important,Beneficial,Important,Essential,Important,Beneficial,Essential,Important,Important,Essential,Important,,,,,,,,,,,Mostly meets,Partly meets,Fully meets,Mostly meets,Mostly meets,Fully meets,Fully meets,Does not meet,Partly meets,Fully meets,Partly meets,Does not meet,Fully meets,Mostly meets,Partly meets,Mostly meets,Partly meets,,,,,,,,,,,,,,1,Beneficial,Beneficial,Partly meets,Partly meets,70,,,,,,,,,,,,
W1BLW0000185,2017-02-13 16:28:13,2017-02-13 16:32:19,Essential,Beneficial,Beneficial,Essential,Essential,Essential,Essential,Essential,Essential,Important,Essential,Important,Essential,Essential,Essential,Essential,Essential,,,,,,,,,,,Mostly meets,Partly meets,Mostly meets,Mostly meets,Mostly meets,Fully meets,Fully meets,Partly meets,Partly meets,Fully meets,Mostly meets,Mostly meets,Fully meets,Fully meets,Partly meets,Fully meets,Partly meets,,,,,,,,,,,,,,1,Beneficial,Important,Does not meet,Does not meet,80,,,,,,,,,,,,
W1BLW0000744,2017-02-13 16:53:49,2017-02-13 16:57:17,Important,Important,Essential,Essential,Essential,Important,Essential,Beneficial,Important,Essential,Essential,Important,Essential,Important,Essential,Essential,Essential,,,,,,,,,,,Partly meets,Does not meet,Partly meets,Partly meets,Mostly meets,Mostly meets,Partly meets,Does not meet,Does not meet,Fully meets,Partly meets,Partly meets,Fully meets,Fully meets,Partly meets,Mostly meets,Partly meets,,,,,,,,,,,,,,1,Beneficial,Beneficial,Partly meets,Partly meets,80,,,,,,,,,,,,
W1BLW0000682,2017-02-13 16:55:01,2017-02-13 17:03:44,Essential,Important,Essential,Essential,Essential,Important,Essential,Beneficial,Important,Essential,Important,Essential,Essential,Essential,Essential,Essential,Essential,,,,,,,,,,,Mostly meets,Partly meets,Partly meets,Mostly meets,Fully meets,Mostly meets,Fully meets,Does not meet,Mostly meets,Fully meets,Mostly meets,Fully meets,Mostly meets,Fully meets,Fully meets,Fully meets,Fully meets,,,,,,,,,,,,,,1,Important,Essential,Mostly meets,Mostly meets,90,,,,,,,,,,,,
W1BLW0000383,2017-02-13 17:01:55,2017-02-13 17:09:19,Essential,Beneficial,Essential,Essential,Important,Essential,Beneficial,Important,Essential,Essential,Essential,Essential,Essential,Essential,Important,Essential,Essential,,,,,,,,,,,Partly meets,Partly meets,Partly meets,Partly meets,Mostly meets,Partly meets,Partly meets,Does not meet,,Partly meets,Partly meets,,,Partly meets,Partly meets,Partly meets,Partly meets,,,,,,,,,,,,,,1,Important,Essential,Partly meets,Does not meet,50,,,,,,,,,,,,
W1BLW0000583,2017-02-13 17:03:17,2017-02-13 17:10:43,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Important,Essential,Essential,Essential,Essential,Important,Important,Essential,,,,,,,,,,,Partly meets,Does not meet,Mostly meets,Partly meets,Mostly meets,Mostly meets,Mostly meets,Partly meets,Mostly meets,,Partly meets,Partly meets,Partly meets,Partly meets,Mostly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Beneficial,Important,Partly meets,Partly meets,60,,,,,,,,,,,,
W1BLW0000326,2017-02-13 17:11:39,2017-02-13 17:14:59,Important,Essential,Beneficial,Essential,Essential,Important,Important,Essential,Beneficial,Essential,Essential,Important,Essential,Important,Beneficial,Beneficial,Important,,,,,,,,,,,Partly meets,Partly meets,Mostly meets,Does not meet,Mostly meets,Partly meets,Mostly meets,Partly meets,Mostly meets,,Does not meet,Does not meet,Fully meets,Partly meets,Mostly meets,Mostly meets,Partly meets,,,,,,,,,,,,,,1,Beneficial,Beneficial,Partly meets,Fully meets,70,,,,,,,,,,,,
W1BLW0000495,2017-02-13 17:11:36,2017-02-13 17:15:57,Essential,Beneficial,Important,Essential,Essential,Essential,Essential,Beneficial,Important,Essential,Essential,Important,Essential,Important,Beneficial,Important,Important,,,,,,,,,,,Mostly meets,Does not meet,Mostly meets,Mostly meets,Fully meets,Mostly meets,Fully meets,Does not meet,Partly meets,Fully meets,Partly meets,Does not meet,Fully meets,Partly meets,Partly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Beneficial,Important,Partly meets,Does not meet,80,,,,,,,,,,,,
W1BLW0000790,2017-02-13 17:04:55,2017-02-13 17:16:07,Essential,Important,Important,Important,Important,Important,Essential,Beneficial,Important,Essential,Important,Important,Essential,Important,Beneficial,Important,Important,,,,,,,,,,,Partly meets,Partly meets,Mostly meets,Partly meets,Mostly meets,Mostly meets,Mostly meets,Partly meets,Partly meets,Mostly meets,Partly meets,Does not meet,Fully meets,Mostly meets,Partly meets,Mostly meets,Mostly meets,,,,,,,,,,,,,,1,Beneficial,Important,Partly meets,Partly meets,60,,,,,,,,,,,,
W1BLW0000694,2017-02-13 17:10:56,2017-02-13 17:16:10,Essential,Beneficial,Important,Essential,Important,Essential,Essential,Beneficial,Important,Essential,Essential,Beneficial,Essential,Essential,Essential,Essential,Essential,,,,,,,,,,,Mostly meets,Mostly meets,Fully meets,Mostly meets,Mostly meets,Fully meets,Fully meets,Partly meets,Mostly meets,Fully meets,Fully meets,Partly meets,Fully meets,Partly meets,Mostly meets,Fully meets,Fully meets,,,,,,,,,,,,,,1,Important,Essential,Partly meets,Mostly meets,80,,,,,,,,,,,,
W1BLW0000817,2017-02-13 16:57:20,2017-02-13 17:17:10,Important,Important,Important,Essential,Important,Important,Essential,Beneficial,Beneficial,Important,Important,Important,Essential,Essential,Essential,Essential,Important,,,,,,,,,,,Partly meets,Does not meet,Fully meets,Fully meets,Partly meets,Partly meets,Fully meets,Does not meet,Does not meet,Fully meets,Mostly meets,Partly meets,Mostly meets,,,,Does not meet,,,,,,,,,,,,,,1,Important,Beneficial,Does not meet,Does not meet,70,,,,,,,,,,,,
